Week,Routine,Day,Category,Exercise,,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total, Time Between Body Parts (s),Total Reps,Total Wt.,Total Lifting Time (s),Wt./Rep,Wt./Time
Week 1,A,1,Chest,Shoulder-Width Bench Press,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,0,240,,0,138,#DIV/0!,0
Week 1,A,1,Shoulders,Barbell Press,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,A,1,Upper Back,Chin-Up,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,A,1,Triceps,Supine Lying Triceps Extension,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,A,1,Biceps,Standing Barbell Curl Supine Grip,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,B,2,Quads,Full Range-of-Motion Low-Bar Back Squat,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,B,2,Trapezius,Barbell Shrug,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,B,2,Lower Back,Deadlift,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,B,2,Calves,Donkey Raises,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 1,B,2,Abs,Leg Pull-In,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 2,A,1,Chest,Shoulder-Width Bench Press,,5,,30,0,120,110,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,0,240,,0,141,#DIV/0!,0
Week 2,A,1,Shoulders,Push Press,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 2,A,1,Upper Back,Pull-Up,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 2,A,1,Triceps,Standing Close-Grip Triceps Push-Down,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 2,A,1,Biceps,Standing Barbell Curl Supine Grip,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 2,B,2,Quads,Full Range-of-Motion Low-Bar Back Squat,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 2,B,2,Trapezius,Barbell Shrug,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
Week 2,B,2,Lower Back,Deadlift,,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,27,0,150,140,10,5,,30,,240,,,,,
