Week,Routine,Day,Category,Exercise,,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total,Time Between Sets (s),Time Until Countdown (s),Countdown Timer,Reps,Weight,Lifting Time (s),Total, Time Between Body Parts (s),Total Reps,Total Wt.,Total Lifting Time (s),Wt./Rep,Wt./Time
Week 1,A,1,Chest,Shoulder-Width Bench Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,120,,0,250,#DIV/0!,0
Week 1,A,1,Shoulders,Barbell Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,A,1,Upper Back,Chin-Up,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,A,1,Triceps,Supine Lying Triceps Extension,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,A,1,Biceps,Standing Barbell Curl Supine Grip,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,B,2,Quads,Full Range-of-Motion Low-Bar Back Squat,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,B,2,Trapezius,Barbell Shrug,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,B,2,Lower Back,Deadlift,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,B,2,Calves,Donkey Raises,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 1,B,2,Abs,Leg Pull-In,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,A,1,Chest,Shoulder-Width Bench Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,120,,0,250,#DIV/0!,0
Week 2,A,1,Shoulders,Push Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,A,1,Upper Back,Pull-Up,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,A,1,Triceps,Standing Close-Grip Triceps Push-Down,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,A,1,Biceps,Standing Barbell Curl Supine Grip,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,B,2,Quads,Full Range-of-Motion Low-Bar Back Squat,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,B,2,Trapezius,Barbell Shrug,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,B,2,Lower Back,Deadlift,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,B,2,Calves,Donkey Raises,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 2,B,2,Abs,Leg Pull-In,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,A,1,Chest,Shoulder-Width Bench Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,120,,0,250,#DIV/0!,0
Week 3,A,1,Shoulders,Barbell Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,A,1,Upper Back,Chin-Up,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,A,1,Triceps,Supine Lying Triceps Extension,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,A,1,Biceps,Standing Barbell Curl Supine Grip,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,B,2,Quads,Full Range-of-Motion Low-Bar Back Squat,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,B,2,Trapezius,Barbell Shrug,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,B,2,Lower Back,Deadlift,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,B,2,Calves,Donkey Raises,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 3,B,2,Abs,Leg Pull-In,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 4,A,1,Chest,Shoulder-Width Bench Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,120,,0,250,#DIV/0!,0
Week 4,A,1,Shoulders,Push Press,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 4,A,1,Upper Back,Pull-Up,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 4,A,1,Triceps,Standing Close-Grip Triceps Push-Down,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 4,A,1,Biceps,Standing Barbell Curl Supine Grip,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 4,B,2,Quads,Full Range-of-Motion Low-Bar Back Squat,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
Week 4,B,2,Trapezius,Barbell Shrug,,20,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,0,60,50,10,11,,50,,120,,,,,
