Sport,WEEK 1,,,,,WEEK 2,,,,,WEEK 3,,,,,WEEK 4,,,,,WEEK 5,,,,,WEEK 6,,,,,WEEK 7,,,,
Baseball,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST
Basketball,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST
Boxing,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST
Diving,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST
,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST
,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST
,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST
Gymnastics,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST
Golf,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST
Ice Hockey,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST
Lacrosse,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST
Marathon,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST
Mixed Martial Arts,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST
